symbol,date,confidence,outcome
3MINDIA.NS,2024-10-09,53.9,STOP_HIT
3MINDIA.NS,2024-10-10,47.0,STOP_HIT
3MINDIA.NS,2024-10-16,56.0,STOP_HIT
3MINDIA.NS,2024-10-18,50.5,STOP_HIT
3MINDIA.NS,2024-10-23,45.4,STOP_HIT
3MINDIA.NS,2024-10-24,48.0,STOP_HIT
3MINDIA.NS,2024-10-30,48.9,T1_HIT
3MINDIA.NS,2024-10-31,60.5,STOP_HIT
3MINDIA.NS,2024-11-01,47.5,STOP_HIT
3MINDIA.NS,2024-11-04,52.9,STOP_HIT
3MINDIA.NS,2024-11-05,58.5,STOP_HIT
3MINDIA.NS,2024-11-06,54.6,STOP_HIT
3MINDIA.NS,2024-11-07,48.7,STOP_HIT
3MINDIA.NS,2024-11-08,40.6,STOP_HIT
3MINDIA.NS,2024-11-11,48.5,STOP_HIT
3MINDIA.NS,2024-11-12,48.0,STOP_HIT
3MINDIA.NS,2024-11-21,40.3,TIME_EXIT
3MINDIA.NS,2024-12-13,48.3,STOP_HIT
3MINDIA.NS,2025-01-02,53.7,STOP_HIT
3MINDIA.NS,2025-01-07,57.1,STOP_HIT
3MINDIA.NS,2025-01-08,58.0,STOP_HIT
3MINDIA.NS,2025-01-09,52.7,STOP_HIT
3MINDIA.NS,2025-01-16,54.3,STOP_HIT
3MINDIA.NS,2025-01-22,42.8,STOP_HIT
3MINDIA.NS,2025-01-23,49.9,STOP_HIT
3MINDIA.NS,2025-01-28,48.6,STOP_HIT
3MINDIA.NS,2025-01-29,48.6,STOP_HIT
3MINDIA.NS,2025-01-30,44.0,STOP_HIT
3MINDIA.NS,2025-01-31,55.5,STOP_HIT
3MINDIA.NS,2025-02-01,51.6,STOP_HIT
3MINDIA.NS,2025-02-03,49.5,STOP_HIT
3MINDIA.NS,2025-02-06,40.9,STOP_HIT
3MINDIA.NS,2025-03-05,46.3,TIME_EXIT
3MINDIA.NS,2025-03-06,40.4,STOP_HIT
3MINDIA.NS,2025-03-07,42.8,STOP_HIT
3MINDIA.NS,2025-03-10,49.2,STOP_HIT
3MINDIA.NS,2025-03-11,43.4,STOP_HIT
3MINDIA.NS,2025-03-12,44.3,STOP_HIT
3MINDIA.NS,2025-03-17,44.8,T1_HIT
3MINDIA.NS,2025-03-18,41.0,T1_HIT
3MINDIA.NS,2025-03-19,46.9,STOP_HIT
