confidence,date,exit_bars,outcome,r_multiple,regime,sector,setup,symbol
72.1,2025-04-16,15,STOP_HIT,-1.023,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,3MINDIA.NS
76.3,2025-07-22,2,T1_HIT,0.432,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,3MINDIA.NS
78.0,2025-08-07,5,STOP_HIT,-1.033,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,3MINDIA.NS
74.2,2025-11-04,1,T1_HIT,0.368,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,3MINDIA.NS
82.9,2025-11-06,20,TIME_EXIT,-0.381,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
79.7,2025-11-07,2,T1_HIT,0.338,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
78.7,2025-11-10,20,TIME_EXIT,-0.403,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
72.3,2025-11-11,20,TIME_EXIT,-0.552,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
70.0,2025-12-31,2,T1_HIT,2.232,CAUTIOUS_BULLISH,UNKNOWN,OTHER,3MINDIA.NS
82.2,2026-01-01,4,STOP_HIT,-1.048,BULLISH,UNKNOWN,BREAKOUT,3MINDIA.NS
86.8,2026-01-02,3,STOP_HIT,-1.046,BULLISH,UNKNOWN,BREAKOUT,3MINDIA.NS
71.3,2026-01-05,2,STOP_HIT,-1.044,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
71.5,2026-01-16,1,STOP_HIT,-1.112,CAUTIOUS_BULLISH,UNKNOWN,OTHER,3MINDIA.NS
76.4,2026-02-06,1,T1_HIT,2.032,CAUTIOUS_BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
85.8,2026-02-09,5,STOP_HIT,-1.031,BULLISH,UNKNOWN,BREAKOUT,3MINDIA.NS
85.3,2026-02-10,4,STOP_HIT,-1.023,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
77.6,2026-02-11,2,STOP_HIT,-1.025,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
86.7,2026-02-12,1,STOP_HIT,-1.028,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
75.3,2026-02-20,6,STOP_HIT,-1.081,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
81.6,2026-02-27,1,STOP_HIT,-1.036,BULLISH,UNKNOWN,MOMENTUM,3MINDIA.NS
72.6,2024-11-25,11,T1_HIT,1.608,CAUTIOUS_BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
77.8,2024-11-27,13,T1_HIT,1.124,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
71.3,2024-11-28,12,T1_HIT,1.287,CAUTIOUS_BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
76.3,2024-12-03,10,T1_HIT,0.983,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
77.0,2024-12-10,9,T1_HIT,0.83,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
70.9,2024-12-11,10,T1_HIT,0.82,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
71.0,2024-12-16,14,T1_HIT,0.73,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
75.9,2025-06-05,7,T1_HIT,0.976,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
70.2,2025-06-06,5,T1_HIT,1.105,CAUTIOUS_BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
70.4,2025-06-09,5,T1_HIT,1.213,CAUTIOUS_BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
77.0,2025-06-13,14,T1_HIT,0.895,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
76.7,2025-06-16,14,T1_HIT,0.827,CAUTIOUS_BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
77.4,2025-06-17,12,T1_HIT,0.821,BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
74.9,2025-06-18,5,T1_HIT,1.053,BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
80.8,2025-06-19,3,T1_HIT,1.137,BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
84.0,2025-06-25,8,T1_HIT,0.755,BULLISH,UNKNOWN,BREAKOUT,360ONE.NS
84.0,2025-06-26,6,T1_HIT,0.978,BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
87.0,2025-06-27,6,T1_HIT,0.78,BULLISH,UNKNOWN,MOMENTUM,360ONE.NS
