reject_date,symbol,sector,close_at_reject,market_cap_cr,trade_quality,confidence,top_reasons,close_5d,return_5d_pct,close_10d,return_10d_pct,close_20d,return_20d_pct,measured_at,notes
2026-07-16,ZYDUSWELL.NS,DIVERSIFIED,601.9,19119.0,59.6,74.35000000000001,ROE_TOO_LOW(4.0%<10%),592.25,-1.6,,,,,2026-07-21T19:21:26,
2026-07-16,WANBURY.NS,DIVERSIFIED,343.2,1201.0,59.9,27.83,"CONF_FAIL(got 27.8, need 70) | TQ_FAIL(got 59.9, need 68) | RR_FAIL(got 1.54, need 1.7)",338.4,-1.4,,,,,2026-07-21T19:21:42,
2026-07-16,UNIMECH.NS,DIVERSIFIED,1296.9,6608.0,71.0,44.245,ROE_TOO_LOW(9.0%<10%),1276.2,-1.6,,,,,2026-07-21T19:21:38,
2026-07-16,UJJIVANSFB.NS,DIVERSIFIED,65.62,0.0,62.5,44.16,"CONF_FAIL(got 44.2, need 70) | TQ_FAIL(got 62.5, need 68) | RR_FAIL(got 1.55, need 1.7)",65.63,0.02,,,,,2026-07-21T19:21:38,
2026-07-16,TTKPRESTIG.NS,DIVERSIFIED,677.7,9303.0,57.9,77.19,ROE_TOO_LOW(9.0%<10%),656.15,-3.18,,,,,2026-07-21T19:21:25,
2026-07-16,TRIVENI.NS,DIVERSIFIED,471.4,10394.0,63.7,35.83,ROE_TOO_LOW(8.7%<10%),471.5,0.02,,,,,2026-07-21T19:21:40,
2026-07-16,TFCILTD.NS,DIVERSIFIED,83.76,3879.0,63.5,65.96000000000001,ROE_TOO_LOW(9.9%<10%),83.21,-0.66,,,,,2026-07-21T19:21:32,
2026-07-16,TBZ.NS,DIVERSIFIED,256.03,1705.0,48.4,68.02,"CONF_FAIL(got 68.0, need 70) | TQ_FAIL(got 48.4, need 68) | SECTOR_RANK_TOO_LOW(rank=12>top6)",259.73,1.45,,,,,2026-07-21T19:21:30,
2026-07-16,TANLA.NS,DIVERSIFIED,588.3,7794.0,74.3,30.975,"CONF_FAIL(got 31.0, need 70) | RR_FAIL(got 1.42, need 1.7) | SECTOR_RANK_TOO_LOW(rank=12>top6)",564.55,-4.04,,,,,2026-07-21T19:21:41,
2026-07-16,SUNDRMFAST.NS,DIVERSIFIED,970.35,20397.0,62.8,73.80000000000001,"TQ_FAIL(got 62.8, need 68) | RR_FAIL(got 1.35, need 1.7) | SECTOR_RANK_TOO_LOW(rank=12>top6)",964.95,-0.56,,,,,2026-07-21T19:21:26,
2026-07-16,SUMEETINDS.NS,DIVERSIFIED,33.26,2304.0,73.1,63.92,"CONF_FAIL(got 63.9, need 70) | RR_FAIL(got 1.48, need 1.7) | SECTOR_RANK_TOO_LOW(rank=12>top6)",33.54,0.84,,,,,2026-07-21T19:21:35,
2026-07-16,SUDARSCHEM.NS,DIVERSIFIED,1068.55,8515.0,59.0,67.48,ROE_TOO_LOW(0.5%<10%),1054.6,-1.31,,,,,2026-07-21T19:21:30,
2026-07-16,STYL.NS,DIVERSIFIED,400.1,6476.0,47.1,68.59,"CONF_FAIL(got 68.6, need 70) | TQ_FAIL(got 47.1, need 68) | RR_FAIL(got 1.44, need 1.7)",371.7,-7.1,,,,,2026-07-21T19:21:28,
2026-07-16,STALLION.NS,DIVERSIFIED,212.04,0.0,65.8,65.34,ROE_TOO_LOW(8.9%<10%),245.32,15.7,,,,,2026-07-21T19:21:32,
2026-07-16,SSWL.NS,DIVERSIFIED,265.44,4181.0,74.0,44.76,"CONF_FAIL(got 44.8, need 70) | RR_FAIL(got 1.46, need 1.7) | SECTOR_RANK_TOO_LOW(rank=12>top6)",279.3,5.22,,,,,2026-07-21T19:21:37,
2026-07-16,SPORTKING.NS,DIVERSIFIED,198.51,0.0,68.2,67.815,"CONF_FAIL(got 67.8, need 70) | RR_FAIL(got 1.40, need 1.7) | SECTOR_RANK_TOO_LOW(rank=12>top6)",198.46,-0.03,,,,,2026-07-21T19:21:30,
2026-07-16,SONACOMS.NS,AUTO_ANCILLARY,683.4,42606.0,70.3,74.94,SETUP_EDGE_SKIP(REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)),732.75,7.22,,,,,2026-07-21T19:21:25,
2026-07-16,SMCGLOBAL.NS,DIVERSIFIED,81.48,1702.0,67.3,53.37,ROE_TOO_LOW(8.1%<10%),79.08,-2.95,,,,,2026-07-21T19:21:37,
2026-07-16,SKMEGGPROD.NS,DIVERSIFIED,331.2,1742.0,45.6,63.66,"CONF_FAIL(got 63.7, need 70) | TQ_FAIL(got 45.6, need 68) | SECTOR_RANK_TOO_LOW(rank=12>top6)",313.7,-5.28,,,,,2026-07-21T19:21:35,
2026-07-16,SHYAMMETL.NS,DIVERSIFIED,1040.5,29039.0,70.2,69.8,ROE_TOO_LOW(9.7%<10%),1062.65,2.13,,,,,2026-07-21T19:21:27,
2026-07-16,SHREEJISPG.NS,DIVERSIFIED,595.65,9699.0,59.6,81.55,"TQ_FAIL(got 59.6, need 68) | RR_FAIL(got 1.43, need 1.7) | SECTOR_RANK_TOO_LOW(rank=12>top6)",612.15,2.77,,,,,2026-07-21T19:21:25,
2026-07-16,SHOPERSTOP.NS,DIVERSIFIED,401.35,4423.0,64.1,64.575,DE_TOO_HIGH(11.40>1.50),386.35,-3.74,,,,,2026-07-21T19:21:34,
2026-07-16,SHANKARA.NS,DIVERSIFIED,138.83,337.0,71.7,39.865,MARKET_CAP_LOW_₹337Cr_(min_₹500Cr),138.41,-0.3,,,,,2026-07-21T19:21:40,
2026-07-16,SENORES.NS,DIVERSIFIED,1452.9,6700.0,62.3,68.58,"CONF_FAIL(got 68.6, need 70) | TQ_FAIL(got 62.3, need 68) | RR_FAIL(got 1.68, need 1.7)",1404.0,-3.37,,,,,2026-07-21T19:21:28,
2026-07-16,SATIN.NS,DIVERSIFIED,266.14,2940.0,69.1,68.92,DE_TOO_HIGH(3.83>1.50),258.46,-2.89,,,,,2026-07-21T19:21:28,
2026-07-16,SANGAMIND.NS,DIVERSIFIED,628.35,3159.0,61.4,67.15,ROE_TOO_LOW(8.4%<10%),618.95,-1.5,,,,,2026-07-21T19:21:31,
